Job_ID,Link,Title,Company,Place,Description,HTML,Date,Skills
3922741808,https://it.linkedin.com/jobs/view/data-scientist-senior-at-ntt-data-italia-3922741808?position=22&pageNum=0&refId=tVenCbkFVAogCr7MU1OmPw%3D%3D&trackingId=DLBrFdTK3f75zyY9ma%2F8Aw%3D%3D,Data Scientist Senior,NTT DATA Italia,"Rome, Latium, Italy","NTT DATA, Trusted Global Innovator, è tra i principali player a livello mondiale in ambito IT services. Con più di 140.000 professionisti in oltre 50 Paesi in tutto il mondo, siamo protagonisti e acceleratori della trasformazione digitale offrendo ai nostri clienti soluzioni tecnologiche e innovative progettate su misura. Il motore di NTTDATA sono le persone, ognuna con la propria unicità, talento ed attitudine. Abbiamo costruito una Smile Working Company in cui la cura, l’ascolto delle persone, il loro benessere e sviluppo delle competenze sono la nostra priorità. Abbiamo creato spazi di lavoro che favoriscono il senso di comunità e lo scambio costruttivo di esperienze.

Guardiamo al nostro domani con la stessa passione di ieri e abbiamo bisogno anche del tuo talento!

www.nttdata.com/it

Responsibilities

The ideal candidate as Senior Data Scientist in NTT DATA will have a mix of skills including Generative AI hands-on capability (preferably on Azure/GCP and on-premise) engineering best practices, statistical expertise, Machine and Deep Learning skills and a strong business sense.

The Senior Data Scientist will work with fellow data scientists, data engineers, ML Engineers, product managers, business analysts, and stakeholders from other internal groups and from external clients.

He/She will be responsible for multiple projects, leading the Data Scientists and connecting with the stakeholders on client?s side, to ensure that tasks are on time and well executed.

Required Skills


Experience of at least 3-5 years as data scientist;
Strong Python (mandatory) and SQL coding;
Knowledge of Java/Scala or C++/R is a plus;
Tensorflow and Pytorch knowledge with a focus over Computer Vision solutions;
Knowledge of ML solutions architecture and Generative AI pipelines;
Cloud and hybrid ML implementations;
Incorporate new, cutting edge business intelligence, machine learning, and alternative data practices into wider organization to drive efficiencies and generate revenue;
Own the full stack execution of data science projects from data wrangling, model development, presentation, measurement to deployment;
Work with data engineers to produce fully productionized pipelines including data ingestion, cleaning, feature engineering and model training/prediction;
Conduct research and analysis into reinsurance and advisory products to augment industry-standard models and develop new market offerings;
Establish and maintain strong relationships with internal team members and external clients



Location: Milano, Bari, Bologna, Cosenza, Napoli, Roma, Salerno, Torino
Show more ","<div class=""description__text description__text--rich"">
        
    
    
    

    <section data-max-lines=""5"" class=""show-more-less-html"">
        <div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5
            relative overflow-hidden"">
          NTT DATA, Trusted Global Innovator, è tra i principali player a livello mondiale in ambito IT services. Con più di 140.000 professionisti in oltre 50 Paesi in tutto il mondo, siamo protagonisti e acceleratori della trasformazione digitale offrendo ai nostri clienti soluzioni tecnologiche e innovative progettate su misura. Il motore di NTTDATA sono le persone, ognuna con la propria unicità, talento ed attitudine. Abbiamo costruito una Smile Working Company in cui la cura, l’ascolto delle persone, il loro benessere e sviluppo delle competenze sono la nostra priorità. Abbiamo creato spazi di lavoro che favoriscono il senso di comunità e lo scambio costruttivo di esperienze.<br><br>Guardiamo al nostro domani con la stessa passione di ieri e abbiamo bisogno anche del tuo talento!<br><br>www.nttdata.com/it<br><br><strong>Responsibilities<br><br></strong>The ideal candidate as Senior Data Scientist in NTT DATA will have a mix of skills including Generative AI hands-on capability (preferably on Azure/GCP and on-premise) engineering best practices, statistical expertise, Machine and Deep Learning skills and a strong business sense.<br><br>The Senior Data Scientist will work with fellow data scientists, data engineers, ML Engineers, product managers, business analysts, and stakeholders from other internal groups and from external clients.<br><br>He/She will be responsible for multiple projects, leading the Data Scientists and connecting with the stakeholders on client?s side, to ensure that tasks are on time and well executed.<br><br><strong>Required Skills<br><br></strong><ul><li>Experience of at least 3-5 years as data scientist; </li><li>Strong Python (mandatory) and SQL coding; </li><li>Knowledge of Java/Scala or C++/R is a plus; </li><li>Tensorflow and Pytorch knowledge with a focus over Computer Vision solutions; </li><li>Knowledge of ML solutions architecture and Generative AI pipelines; </li><li>Cloud and hybrid ML implementations; </li><li>Incorporate new, cutting edge business intelligence, machine learning, and alternative data practices into wider organization to drive efficiencies and generate revenue; </li><li>Own the full stack execution of data science projects from data wrangling, model development, presentation, measurement to deployment; </li><li>Work with data engineers to produce fully productionized pipelines including data ingestion, cleaning, feature engineering and model training/prediction; </li><li>Conduct research and analysis into reinsurance and advisory products to augment industry-standard models and develop new market offerings; </li><li>Establish and maintain strong relationships with internal team members and external clients<br><br><br></li></ul>Location: Milano, Bari, Bologna, Cosenza, Napoli, Roma, Salerno, Torino
        </div>

        

    
    
    

    <button aria-expanded=""false"" aria-label=""i18n_show_more"" data-tracking-control-name=""public_jobs_show-more-html-btn"" class=""show-more-less-html__button show-more-less-button
        show-more-less-html__button--more
        ml-0.5"">
<!---->
        
            Show more
          

          <icon class=""show-more-less-html__button-icon show-more-less-button-icon lazy-loaded"" aria-hidden=""true"" aria-busy=""false""><svg xmlns=""http://www.w3.org/2000/svg"" width=""16"" height=""16"" preserveAspectRatio=""xMinYMin meet"" focusable=""false"" class=""lazy-loaded"" aria-busy=""false""><path d=""M8 9l5.93-4L15 6.54l-6.15 4.2a1.5 1.5 0 01-1.69 0L1 6.54 2.07 5z"" fill=""currentColor""></path></svg></icon>
    </button>
  

        

    
    
    

    <button aria-expanded=""true"" aria-label=""i18n_show_less"" data-tracking-control-name=""public_jobs_show-less-html-btn"" class=""show-more-less-html__button show-more-less-button
        show-more-less-html__button--less
        ml-0.5"">
<!---->
        
            Show less
          

          <icon class=""show-more-less-html__button-icon show-more-less-button-icon lazy-loaded"" aria-hidden=""true"" aria-busy=""false""><svg xmlns=""http://www.w3.org/2000/svg"" width=""16"" height=""16"" preserveAspectRatio=""xMinYMin meet"" focusable=""false"" class=""lazy-loaded"" aria-busy=""false""><path d=""M8 7l-5.9 4L1 9.5l6.2-4.2c.5-.3 1.2-.3 1.7 0L15 9.5 13.9 11 8 7z"" fill=""currentColor""></path></svg></icon>
    </button>
  
<!---->    </section>
  
      </div>",2024-10-31,[]
4037796648,https://it.linkedin.com/jobs/view/artificial-intelligence-developer-50%25-ibrido-at-experis-italia-4037796648?position=26&pageNum=0&refId=tVenCbkFVAogCr7MU1OmPw%3D%3D&trackingId=PtoqSq84YT2PTFEJhCPTWw%3D%3D,Artificial Intelligence Developer - 50% ibrido,Experis Italia,Greater Rome Metropolitan Area,"Il Cliente:

Il nostro Cliente è una startup innovativa presente sul mercato dal 2019 che opera nel settore dell'Intelligenza Artificiale, specializzata nella creazione di soluzioni tecnologiche avanzate per migliorare l'efficienza operativa e l'analisi dei dati. Con un forte focus sulla personalizzazione, l'azienda si dedica a sviluppare strumenti AI su misura per diverse industrie, inclusa quella della Difesa.







Descrizione del ruolo:

Stiamo cercando un AI Developer con un'esperienza di circa 3 anni nella programmazione software (Python, Java o C#), da integrare in un progetto di sviluppo AI per il settore Difesa. Il ruolo prevede l'inserimento nel team del Cliente con sede a Roma Tiburtina, in modalità di lavoro ibrida (50% in presenza).




Responsabilità:

Sviluppo e manutenzione di software di Intelligenza artificiale.
Collaborazione con team di Data Scientists e ingegneri per l’implementazione di soluzioni AI su larga scala.
Ottimizzazione delle performance e gestione delle applicazioni in ambienti di produzione.
Partecipazione attiva al ciclo di vita del software: analisi, progettazione, sviluppo, test, e deployment.




Requisiti:

+ 3 anni di esperienza nello sviluppo di software con almeno un linguaggio, come Python, Java o C#.
Pregressa esperienza con progetti di AI.
Esperienza nel disegno di soluzioni software e nell'implementazione di strutture dati e algoritmi.
Esperienza con strumenti di Code Repository e CI/CD.
Conoscenza di concetti, algoritmi e metodologie di Machine Learning e Gen AI.
Esperienza con linguaggi SQL per design, query e gestione dei database; competenze in SQL per attività di ETL.




Benefits:

Contratto a tempo indeterminato con CCNL Commercio.
RAL compresa tra €50.000 e €60.000 a seconda dell'esperienza.
Possibilità di lavorare in modalità ibrida (tre giorni in sede a Roma Tiburtina).
Opportunità di crescita e di lavorare su tecnologie all'avanguardia nel campo dell'Intelligenza Artificiale e della Sicurezza.




“Manpower e le altre Società di ManpowerGroup garantiscono (ai sensi del D.Lgs 198/2006, D.Lgs.215/2003 e D.Lgs.216/2003) pari opportunità di accesso al lavoro a tutt* i/le candidat* e sono impegnate nel favorire il rispetto delle diversità e l’inclusione sul posto di lavoro. Il servizio è gratuito. I/Le candidat* sono invitati a leggere l'informativa Privacy disponibile su www.Manpower.it - Aut. Min. Prot. N. 1116 - SG - del 26/11/04. Il titolare della registrazione e/o candidatura dichiara di essere a conoscenza delle sanzioni penali previste in caso di dichiarazioni mendaci ai sensi e per gli effetti dell’art.46 del D.P.R. 445/2000”

Show more ","<div class=""description__text description__text--rich"">
        
    
    
    

    <section data-max-lines=""5"" class=""show-more-less-html"">
        <div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5
            relative overflow-hidden"">
          <p><strong>Il Cliente:</strong></p><p>Il nostro Cliente è una startup innovativa presente sul mercato dal 2019 che opera nel settore dell'Intelligenza Artificiale, specializzata nella creazione di soluzioni tecnologiche avanzate per migliorare l'efficienza operativa e l'analisi dei dati. Con un forte focus sulla personalizzazione, l'azienda si dedica a sviluppare strumenti AI su misura per diverse industrie, inclusa quella della Difesa.</p><p><br></p><p><br></p><p><strong>Descrizione del ruolo:</strong></p><p>Stiamo cercando un <strong>AI Developer</strong> con un'esperienza di circa 3 anni nella programmazione software (Python, Java o C#), da integrare in un progetto di sviluppo <strong>AI</strong> per il settore Difesa. Il ruolo prevede l'inserimento nel team del Cliente con sede a <strong>Roma Tiburtina</strong>, in modalità di lavoro <strong>ibrida</strong> (50% in presenza).</p><p><br></p><p><strong>Responsabilità:</strong></p><ul><li>Sviluppo e manutenzione di software di Intelligenza artificiale.</li><li>Collaborazione con team di Data Scientists e ingegneri per l’implementazione di soluzioni AI su larga scala.</li><li>Ottimizzazione delle performance e gestione delle applicazioni in ambienti di produzione.</li><li>Partecipazione attiva al ciclo di vita del software: analisi, progettazione, sviluppo, test, e deployment.</li></ul><p><br></p><p><strong>Requisiti:</strong></p><ul><li><strong>+ 3 anni di esperienza</strong> nello sviluppo di software con almeno un linguaggio, come <strong>Python</strong>, Java o C#.</li><li>Pregressa esperienza con progetti di<strong> AI.</strong></li><li>Esperienza nel disegno di soluzioni software e nell'implementazione di <strong>strutture dati</strong> e <strong>algoritmi</strong>.</li><li>Esperienza con strumenti di Code Repository e CI/CD.</li><li>Conoscenza di concetti, algoritmi e metodologie di <strong>Machine Learning</strong> e <strong>Gen AI</strong>.</li><li>Esperienza con <strong>linguaggi SQL</strong> per design, query e gestione dei database; competenze in SQL per attività di <strong>ETL</strong>.</li></ul><p><br></p><p><strong>Benefits:</strong></p><ul><li>Contratto <strong>a tempo indeterminato</strong> con <strong>CCNL Commercio</strong>.</li><li><strong>RAL</strong> compresa tra <strong>€50.000 e €60.000</strong> a seconda dell'esperienza.</li><li>Possibilità di lavorare in modalità <strong>ibrida</strong> (tre giorni in sede a Roma Tiburtina).</li><li>Opportunità di crescita e di lavorare su tecnologie all'avanguardia nel campo dell'Intelligenza Artificiale e della Sicurezza.</li></ul><p><br></p><p><em>“Manpower e le altre Società di ManpowerGroup garantiscono (ai sensi del D.Lgs 198/2006, D.Lgs.215/2003 e D.Lgs.216/2003) pari opportunità di accesso al lavoro a tutt* i/le candidat* e sono impegnate nel favorire il rispetto delle diversità e l’inclusione sul posto di lavoro. Il servizio è gratuito. I/Le candidat* sono invitati a leggere l'informativa Privacy disponibile su www.Manpower.it - Aut. Min. Prot. N. 1116 - SG - del 26/11/04. Il titolare della registrazione e/o candidatura dichiara di essere a conoscenza delle sanzioni penali previste in caso di dichiarazioni mendaci ai sensi e per gli effetti dell’art.46 del D.P.R. 445/2000”</em></p>
        </div>

        

    
    
    

    <button aria-expanded=""false"" aria-label=""i18n_show_more"" data-tracking-control-name=""public_jobs_show-more-html-btn"" class=""show-more-less-html__button show-more-less-button
        show-more-less-html__button--more
        ml-0.5"">
<!---->
        
            Show more
          

          <icon class=""show-more-less-html__button-icon show-more-less-button-icon lazy-loaded"" aria-hidden=""true"" aria-busy=""false""><svg xmlns=""http://www.w3.org/2000/svg"" width=""16"" height=""16"" preserveAspectRatio=""xMinYMin meet"" focusable=""false"" class=""lazy-loaded"" aria-busy=""false""><path d=""M8 9l5.93-4L15 6.54l-6.15 4.2a1.5 1.5 0 01-1.69 0L1 6.54 2.07 5z"" fill=""currentColor""></path></svg></icon>
    </button>
  

        

    
    
    

    <button aria-expanded=""true"" aria-label=""i18n_show_less"" data-tracking-control-name=""public_jobs_show-less-html-btn"" class=""show-more-less-html__button show-more-less-button
        show-more-less-html__button--less
        ml-0.5"">
<!---->
        
            Show less
          

          <icon class=""show-more-less-html__button-icon show-more-less-button-icon lazy-loaded"" aria-hidden=""true"" aria-busy=""false""><svg xmlns=""http://www.w3.org/2000/svg"" width=""16"" height=""16"" preserveAspectRatio=""xMinYMin meet"" focusable=""false"" class=""lazy-loaded"" aria-busy=""false""><path d=""M8 7l-5.9 4L1 9.5l6.2-4.2c.5-.3 1.2-.3 1.7 0L15 9.5 13.9 11 8 7z"" fill=""currentColor""></path></svg></icon>
    </button>
  
<!---->    </section>
  
      </div>",2024-10-22,[]
