index,keywords,pct
SAS,965,0.06503571909960912
Agile,976,0.06577705890281708
Snowflake,979,0.06597924248551018
AWS,1453,0.09792424855101765
ETL,2160,0.14557217953902143
R,2725,0.18365008761288584
Power BI,3274,0.22064968324572046
Tableau,4566,0.30772341285887583
Python,6384,0.43024666397088557
SQL,8815,0.594082760479849
