index,keywords,pct
Oracle,747,0.05103853511888494
Looker,880,0.06012571740912818
Snowflake,906,0.06190215905985242
SAS,956,0.06531839300355288
AWS,1435,0.09804591418420333
ETL,2124,0.14512161792839573
R,2564,0.17518447663295983
Power BI,3052,0.20852691992347636
Tableau,4314,0.29475266466247607
Python,5819,0.39758130636786004
