Job_ID,keywords
3425005634,SAS
3426387580,Python
3426387580,access
3426387580,Tableau
3447023067,Oracle
3424516406,JavaScript
3424516406,Python
3424516406,R
3424516406,ETL
3424516406,Tableau
3424516406,SAS
3424516406,Power BI
3426341165,R
3426341165,SQL Server
3426341165,Shiny
3426580082,Snowflake
3426580082,Tableau
3424959011,Tableau
3427076492,Python
3427076492,Looker
3427076492,Power BI
3421285906,Python
3421285906,R
3421285906,Tableau
3447837177,access
3447837177,GitHub
3450184937,R
3447074942,python
3447074942,Power BI
3447506886,Oracle
3447506886,ETL
3447506886,Looker
3449267566,Python
3449267566,AWS
3449267566,Redshift
3449267566,Tableau
3449267566,Pandas
3449267566,numpy
3424527214,Python
3424527214,Tableau
3424527214,Power BI
3422151601,Python
3422151601,Azure Data Lake
3422151601,SQL Server
3422151601,Databricks
3422151601,GIT
3422151601,Power BI
3422151601,Tableau
3421351929,Access
3421351929,SQL Server
3451447956,Snowflake
3451447956,Looker
3451447956,ETL
3429483225,Python
3429483225,AWS
3429483225,Microsoft Azure
3429483225,Apache Spark
3426557745,Snowflake
3426557745,Tableau
3422100295,Python
3422100295,AWS
3422100295,MySQL
3422100295,Looker
3422100295,Pandas
3423683569,Snowflake
3423683569,Tableau
3429674344,Python
3429674344,R
3429674344,Snowflake
3429674344,Tableau
3427730205,R
3427730205,Python
3427730205,Snowflake
3427730205,Tableau
3427730205,Power BI
3427730205,ETL
3424557762,Python
3419028860,Microsoft SQL Server
3447067205,R
3447067205,python
3447067205,access
3447067205,Tableau
3447067205,Power BI
3425161999,Python
3425161999,R
3425161999,ETL
3432469971,R
3432469971,Python
3432469971,AWS
3432469971,Looker
3432469971,Tableau
3432469971,Power BI
3432805317,Python
3432805317,Power BI
3432805317,Looker
3432805317,Tableau
3410952385,Python
3410952385,AWS
3443994450,Python
3443994450,GCP
3443994450,AWS
3443994450,Git
3443994450,Docker
3382099311,C++
3382099311,Git
3426880906,PostgreSQL
3426880906,Redis
3426838482,C++
3426838482,Python
3441094329,JavaScript
3441094329,MongoDB
3441094329,snowflake
3330689855,MongoDB
3426641731,Python
3426641731,AWS
3223591820,JavaScript
3407014230,MongoDB
3438542645,R
3438542645,Python
3438542645,access
3424164771,Python
3424164771,Tableau
3361857259,Power BI
3361857259,Tableau
3361857259,ETL
3382202639,Python
3382202639,Tableau
3382202639,pandas
3446095010,Python
3446095010,Snowflake
3446095010,Power BI
3446095010,Tableau
3443389909,Python
3443389909,sklearn
3419045426,SQL Server
3419045426,Power BI
3444381944,Oracle
3444381944,Access
3444381944,Tableau
3443876932,Google Meet
3443876932,Tableau
3443876932,Github
3447517458,Power BI
3447517458,Tableau
3446004546,Power BI
3446004546,Tableau
3213866482,Python
3213866482,Tableau
3446797583,Python
3415231473,Python
3415231473,Microsoft Azure
3415231473,Amazon Web Services
3415231473,Numpy
3415231473,Scikit learn
3415231473,Plotly
3415231473,TensorFLow
3415231473,Tableau
3435441727,Tableau
3404025919,Looker
3432586276,R
3432586276,Python
3432586276,SAS
3375146278,Power BI
3179374214,Python
3179374214,AWS
3179374214,ETL
3179374214,Tableau
3423587171,Snowflake
3423587171,Power BI
3442503639,R
3442503639,Microsoft SQL Server
3442503639,access
3442503639,Tableau
3416619616,R
3416619616,Python
3416619616,SAS
3363928301,Python
3363928301,Tableau
3415257309,Python
3415257309,AWS
3415257309,Tableau
3424769991,Microsoft Teams
3323053050,Python
3323053050,R
3323053050,AWS
3323053050,Snowflake
3323053050,Tableau
3443985781,SQL Server
3443985781,access
3429796607,Python
3429796607,Tableau
3429796607,Power BI
3429796607,ETL
3445641353,Python
3445641353,pandas
3445641353,matplotlib
3415259308,Microsoft Azure
3415259308,Azure Data Lake
3415259308,SQL Server
3415259308,Power BI
3436939322,Power BI
3442698239,Python
3442698239,R
3415266266,ETL
3419648815,Power BI
3415249519,Power BI
3397986195,access
3417808815,Tableau
3438199463,access
3444202169,access
3444202169,Snowflake
3444202169,Looker
3415248851,Power BI
3442785333,Python
3442785333,Power BI
3442785333,Tableau
3415212231,Python
3415212231,R
3415212231,GitHub
3423522297,access
3423522297,Snowflake
3423522297,Looker
3447434136,R
3447434136,Python
3447434136,Tableau
3447434136,Looker
3382036459,Python
3382036459,access
